,s,p,o,source,support
3029,ontodm,relate,constructing ontologies of data mining,heuristic,1
3030,constructing ontologies of data mining,relate,ontodm,heuristic,1
3031,ontodm,follow,ontology construction,heuristic,2
3032,constructing ontologies of data mining,follow,ontology construction,heuristic,2
3033,metadata,relate,domain-specific ontologies,heuristic,1
3034,domain-specific ontologies,relate,metadata,heuristic,1
3035,domain-specific ontologies,serve,domain knowledge,heuristic,2
3036,skill management,relate,corporate history analysi,heuristic,1
3037,corporate history analysi,relate,skill management,heuristic,1
3038,dogma ontology framework,ground,community concept,heuristic,1
3039,business rule,relate,norm,heuristic,1
3040,norm,relate,business rule,heuristic,1
3041,policy,relate,norm,heuristic,1
3042,norm,relate,policy,heuristic,1
3043,ontology based knowledge management,acknowledge,biological ontology,heuristic,1
3044,life science,acknowledge,biological ontology,heuristic,1
3045,biological continuant,devise,text mining context,heuristic,1
3046,biological continuant,devise,corpus annotation,heuristic,1
3047,terminological reasoner,check,ontology engineering phase,heuristic,2
3048,classification,check,ontology engineering phase,heuristic,2
3049,ocl implementation,feature,ontological and linguistic classification,heuristic,2
3050,deep ocl dialect,take,deep modeling feature,heuristic,2
3051,derived object type,infer,derivation rule,heuristic,1
3052,derivation rule,demonstrate,ontouml,heuristic,1
3053,ontoabsolute,acces,ontologies,heuristic,3
3054,high level video scene interpretation,relate,multimedia content analysi,heuristic,1
3055,multimedia content analysi,relate,high level video scene interpretation,heuristic,1
3056,role inclusion,relate,role interdependency,heuristic,1
3057,role interdependency,relate,role inclusion,heuristic,1
3058,expressive description logic,validate,industry leading reasoner,heuristic,1
3059,formal grounding,set,expressive description logic,heuristic,1
3060,formal grounding,validate,industry leading reasoner,heuristic,2
3061,ontologies,validate,industry leading reasoner,heuristic,1
3062,formal grounding,set,ontologies,heuristic,1
3063,emerging ontology authoring method,ameliorate,validation bottleneck,heuristic,2
3064,complexity,break,ontology partitioning,heuristic,1
3065,reasoning algorithms,render,pato,heuristic,1
3066,ontologies,render,pato,heuristic,1
3067,self contained ontology,part,ontologies,heuristic,2
3068,ontologies,result,self contained ontology,heuristic,1
3069,wikipedia,take,dbpedia ontology engineering proces,heuristic,2
3070,wikipedia,take,interactive round trip engineering,heuristic,2
3071,ontology deliberation,capture,community knowledge based,heuristic,4
3072,ontology deliberation,capture,sam schema,heuristic,3
3073,group preference,relate,ontology quality,heuristic,1
3074,ontology quality,relate,group preference,heuristic,1
3075,description logic based ontology,pose,inconsistent ontology,heuristic,3
3076,ontology construction,pose,inconsistent ontology,heuristic,2
3077,inconsistent ontology,pose,consistent sub ontology,heuristic,2
3078,reduction of error propagation,motivate,software development team,heuristic,1
3079,reduction of error propagation,motivate,ontologies,heuristic,2
3080,reduction of error propagation,relate,code automation,heuristic,1
3081,code automation,relate,reduction of error propagation,heuristic,1
3082,code automation,motivate,software development team,heuristic,1
3083,conceptual modeling,motivate,software development team,heuristic,1
3084,code automation,motivate,ontologies,heuristic,2
3085,conceptual modeling,motivate,ontologies,heuristic,2
3086,code automation,relate,conceptual modeling,heuristic,1
3087,conceptual modeling,relate,code automation,heuristic,1
3088,guideline,associate,development software,heuristic,1
3089,methodology,associate,development software,heuristic,1
3090,development software,interfere,quality of softwares,heuristic,1
3091,development software,relate,ontologies,heuristic,1
3092,ontologies,relate,development software,heuristic,1
3093,guideline,relate,methodology,heuristic,1
3094,methodology,relate,guideline,heuristic,1
3095,guideline,interfere,quality of softwares,heuristic,2
3096,guideline,associate,ontologies,heuristic,1
3097,ontologies,interfere,quality of softwares,heuristic,1
3098,agile proces,call,ontology construction,heuristic,3
3099,agile proces,call,ontosoft proces,heuristic,2
3100,agile proces,call,scrum,heuristic,3
3101,agile proces,call,software engineering,heuristic,3
3102,ontology based software,call,ontology construction,heuristic,2
3103,ontosoft proces,bring,ontology construction,heuristic,1
3104,ontology construction,relate,scrum,heuristic,1
3105,scrum,relate,ontology construction,heuristic,1
3106,ontology based software,call,ontosoft proces,heuristic,1
3107,ontology based software,call,scrum,heuristic,2
3108,ontology based software,call,software engineering,heuristic,2
3109,ontosoft proces,bring,scrum,heuristic,1
3110,ontosoft proces,bring,software engineering,heuristic,1
3111,engineer,relate,ontology engineer,heuristic,1
3112,ontology engineer,relate,engineer,heuristic,1
3113,proces,associate,activity,heuristic,2
3114,automated technique,alleviate,ontology development,heuristic,1
3115,conceptual relation,hold,domain rule,heuristic,1
3116,ontology base,hold,domain rule,heuristic,2
3117,ontological commitment,hold,domain rule,heuristic,1
3118,ontology base,hold,conceptual relation,heuristic,1
3119,ontology base,hold,ontological commitment,heuristic,1
3120,integrated map,relate,ontology construction,heuristic,2
3121,ontology construction,relate,integrated map,heuristic,2
3122,methodology,engineer,decentralised communities of practice,heuristic,1
3123,ontology construction,relate,knowledge management,heuristic,1
3124,knowledge management,relate,ontology construction,heuristic,2
3125,ontology construction,bridge,collaboration,heuristic,2
3126,wikipedia,demonstrate,ontologies,heuristic,2
3127,socially constructed source,distil,ontologies,heuristic,1
3128,subtype,relate,composition,heuristic,1
3129,composition,relate,subtype,heuristic,1
3130,methodology,take,multilingual terminological product,heuristic,4
3131,methodology,take,methodological process,heuristic,3
3132,biological ontology,isolate,annotation,heuristic,1
3133,ontology construction,exist,sequence ontology,heuristic,1
3134,ontological infrastructure,follow,sequence ontology,heuristic,2
3135,ontology construction,exist,biological ontology,heuristic,1
3136,ontological infrastructure,follow,biological ontology,heuristic,2
3137,ontology construction,exist,ontological gene orthology,heuristic,1
3138,ontological infrastructure,follow,ontological gene orthology,heuristic,2
3139,ontological infrastructure,follow,ontology construction,heuristic,1
3140,unified modeling language (uml),accept,modeling languages,heuristic,1
3141,class diagrams,form,well formed semantic,heuristic,2
3142,software specification,relate,database and ontology engineering,heuristic,1
3143,database and ontology engineering,relate,software specification,heuristic,1
3144,database and ontology engineering,relate,meta modeling,heuristic,1
3145,meta modeling,relate,database and ontology engineering,heuristic,1
3146,class diagrams,strengthen,uml modeling tool,heuristic,2
3147,class diagrams,strengthen,recognition of erroneous model,heuristic,2
3148,retrieval,relate,ontology based information publishing,heuristic,1
3149,ontology based information publishing,relate,retrieval,heuristic,1
3150,retrieval,relate,reuse,heuristic,1
3151,reuse,relate,retrieval,heuristic,1
3152,geoscience,compare,domain,heuristic,2
3153,methodology,fund,environmental protection,heuristic,3
3154,maintenance of ontology,become,engineering proces,heuristic,1
3155,ontology engineering process,play,ontology element,heuristic,3
3156,ontology metrics tool,call,ontometric,heuristic,1
3157,internet,relate,software technology,heuristic,1
3158,internet,relate,enterprise,heuristic,3
3159,semantic network,relate,software technology,heuristic,3
3160,enterprise strength ontology engineering,reflect,se,heuristic,2
3161,lca and lcc method,share,data semantic,heuristic,1
3162,product lifecycle process,share,data semantic,heuristic,1
3163,semantics sharing,intend,product data,heuristic,3
3164,lca and lcc analysi,relate,quality assurance,heuristic,1
3165,quality assurance,relate,lca and lcc analysi,heuristic,1
3166,computer aided design,relate,quality assurance,heuristic,1
3167,quality assurance,relate,computer aided design,heuristic,1
3168,object based product data modeling,relate,interoperability standardization,heuristic,1
3169,interoperability standardization,relate,object based product data modeling,heuristic,1
3170,object based product data modeling,addres,product data semantics sharing issue,heuristic,1
3171,interoperability standardization,addres,product data semantics sharing issue,heuristic,1
3172,ontology construction,addres,product data semantics sharing issue,heuristic,1
3173,reasoning algorithms,relate,ontology construction,heuristic,3
3174,ontology construction,relate,reasoning algorithms,heuristic,3
3175,fuzzy concept,relate,fuzzy owl,heuristic,1
3176,fuzzy owl,relate,fuzzy concept,heuristic,1
3177,fuzzy concept,deal,vague information,heuristic,1
3178,fuzzy owl,deal,vague information,heuristic,1
3179,specificity,relate,sensitivity,heuristic,1
3180,sensitivity,relate,specificity,heuristic,1
3181,ontologies,serve,decision support system (dss),heuristic,3
3182,ontology framework,choose,rtgo,heuristic,2
3183,ontology framework,choose,web ontology language,heuristic,3
3184,description logics,relate,ontology language,heuristic,2
3185,protegeowl ontology editor,relate,knowledgebase framework,heuristic,1
3186,knowledgebase framework,relate,protegeowl ontology editor,heuristic,1
3187,extraction,relate,modeling,heuristic,1
3188,modeling,relate,extraction,heuristic,1
3189,modeling,relate,implementation,heuristic,1
3190,implementation,relate,modeling,heuristic,1
3191,ontological framework,capture,dose volume effect,heuristic,1
3192,quantec paper,regard,dose volume effect,heuristic,1
3193,quantec paper,regard,ontological framework,heuristic,1
3194,ontological framework,capture,quantec paper,heuristic,1
3195,logic based ontology technology,go,web ontology language,heuristic,1
3196,logic based approach,relate,cheminformatics approach,heuristic,1
3197,cheminformatics approach,relate,logic based approach,heuristic,1
3198,automatic structurebased classification of chemical entity,bring,hybrid reasoning,heuristic,3
3199,fca approach,deal,fault-tolerance,heuristic,2
3200,fca,deal,fault-tolerance,heuristic,3
3201,fca approach,deal,rdf database,heuristic,1
3202,fca,deal,rdf database,heuristic,2
